company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
MOTOROLA,8,128,6.55,4400,32,70,417
OnePlus,8,128,7.02,4500,50,50,406
vivo,12,256,7.18,4600,50,60,406
realme,8,128,6.7,5000,16,60,406
realme,8,128,6.7,5000,16,60,406
realme,8,128,6.7,5000,16,60,406
vivo,6,128,6.28,3200,12,17,406
OnePlus,12,256,6.7,4500,50,50,405
OnePlus,12,256,6.7,5000,50,50,401
OnePlus,12,256,6.7,5000,50,50,401
OnePlus,12,256,6.7,5000,50,50,399
ASUS,6,128,6.2,3300,8,20,399
realme,12,256,6.5,4000,16,87,395
vivo,8,128,6.56,4830,32,74,395
vivo,8,128,6.56,4830,32,74,395
ASUS,6,64,6.39,5000,61,61,395
realme,12,256,7.02,5000,16,74,395
realme,12,256,7.02,5000,16,74,395
OPPO,8,256,6.4,4025,46,87,395
OnePlus,12,256,6.7,5000,50,50,395
Xiaomi,12,256,7.07,5000,108,108,390
realme,8,128,7.02,5000,16,60,384
realme,8,128,7.02,5000,16,60,384
POCO,8,128,7.07,5065,16,74,384
realme,8,128,7.02,5000,16,60,384
realme,12,256,6.57,4200,40,82,384
realme,12,256,6.57,4200,40,82,384
SAMSUNG,8,128,6.7,5000,32,32,384
Mi,8,128,7.07,4520,20,121,384
MOTOROLA,8,128,12.57,4800,60,102,384
OnePlus,8,128,6.55,4500,48,48,384
vivo,12,256,6.44,4200,58,74,384
vivo,8,128,6.39,3700,48,73,384
IQOO,12,256,7.18,5000,64,64,379
vivo,12,256,6.56,4830,32,74,377
IQOO,12,256,7.18,5000,64,64,376
POCO,12,256,7.07,4500,20,74,373
Mi,6,128,7.07,4520,20,61,373
OnePlus,8,128,6.55,4500,48,48,373
Mi,6,128,7.07,4520,20,61,373
POCO,12,256,7.07,4500,20,74,373
OnePlus,8,128,6.55,4500,48,48,373
IQOO,12,256,7.02,4700,64,64,364
SAMSUNG,6,128,6.5,4500,32,86,362
vivo,8,128,7.18,4600,50,60,362
vivo,8,128,7.18,4600,50,60,362
POCO,6,128,7.07,5065,16,74,362
REDMI,12,256,7.07,4980,16,210,362
SAMSUNG,8,256,6.6,5000,13,61,362
REDMI,12,256,7.07,4980,16,210,362
SAMSUNG,8,256,6.6,5000,13,61,362
POCO,6,128,7.07,5065,16,74,362
REDMI,12,256,7.07,4980,16,210,362
vivo,6,128,6.39,3700,32,61,362
OPPO,8,128,6.4,4025,46,87,362
vivo,8,256,6.44,4000,44,74,362
vivo,6,128,6.39,3700,74,73,362
vivo,8,128,6.44,4100,40,73,362
vivo,8,128,6.56,4830,32,74,362
IQOO,12,256,7.02,4700,64,64,362
SAMSUNG,8,128,6.5,4500,64,64,361
Nothing,8,256,6.55,4500,16,100,357
Xiaomi,8,256,7.07,5000,108,108,357
Nothing,8,256,6.55,4500,16,100,351
realme,8,128,6.5,4000,16,87,351
SAMSUNG,6,128,6.5,5000,32,86,351
Redmi,8,256,6.39,4000,20,69,351
realme,8,128,7.02,5000,16,74,351
realme,8,128,7.02,5000,16,74,351
OPPO,8,128,6.43,4500,64,64,351
Xiaomi,8,256,7.07,5000,108,108,351
Redmi,8,256,6.39,4000,20,69,351
realme,8,256,6.57,4200,40,82,351
realme,8,256,6.57,4200,40,82,351
SAMSUNG,8,128,6.5,4500,32,32,351
OnePlus,8,128,6.7,5000,50,50,351
OnePlus,8,128,6.7,5000,50,50,349
OnePlus,8,128,6.7,5000,50,50,346
OnePlus,8,128,6.7,5000,50,50,346
IQOO,12,256,7.02,4700,64,64,343
vivo,8,128,6.56,4830,32,74,342
SAMSUNG,8,128,6.6,5000,13,69,340
SAMSUNG,8,128,6.6,5000,13,69,340
IQOO,8,128,7.02,4500,48,48,340
SAMSUNG,8,128,6.6,5000,13,69,340
OPPO,4,64,6,4000,16,16,340
vivo,8,128,6.44,4500,40,60,340
IQOO,8,128,7.18,5000,64,64,340
SAMSUNG,6,128,6.6,5000,13,69,333
SAMSUNG,6,128,6.6,5000,13,69,333
SAMSUNG,6,128,6.6,5000,13,69,332
OPPO,8,128,6.43,4500,32,60,329
OPPO,8,128,6.43,4500,32,60,329
realme,8,128,6.55,4500,32,76,329
REDMI,8,256,7.07,4980,16,210,329
realme,8,256,6.43,4300,32,74,329
realme,8,128,6.55,4500,32,76,329
realme,8,256,6.43,4300,32,74,329
Nothing,8,128,6.55,4500,16,100,329
Infinix,8,256,6.8,4500,32,215,329
POCO,8,256,7.07,5000,16,74,329
realme,8,128,6.57,4200,40,82,329
Infinix,8,256,6.8,4500,32,215,329
REDMI,8,256,7.07,4980,16,210,329
OPPO,8,128,6.7,4800,32,112,329
POCO,8,256,7.07,5000,16,74,329
REDMI,8,256,7.07,4980,16,210,329
Infinix,8,256,6.8,4500,32,215,329
Infinix,8,256,6.8,4500,32,215,329
realme,8,128,6.57,4200,40,82,329
POCO,8,256,7.07,5000,16,74,329
OPPO,6,128,6.5,4000,16,53,329
vivo,12,256,6.44,4500,50,74,329
Mi,8,128,7.07,4520,20,121,329
Mi,8,128,7.07,4520,20,121,329
vivo,8,128,6.44,4200,58,74,329
OPPO,8,128,6.43,4300,32,74,329
Xiaomi,8,128,7.07,5000,108,108,329
Xiaomi,8,128,7.07,5000,108,108,328
vivo,12,256,6.44,4500,50,74,327
Xiaomi,8,128,7.07,4500,16,118,318
OPPO,8,256,6.43,4500,32,74,318
SAMSUNG,8,128,6.4,5000,13,63,318
Redmi,6,128,6.39,4000,20,69,318
Google,6,128,6.14,4410,8,24,318
Google,6,128,6.14,4410,8,24,318
Redmi,6,128,6.39,4000,20,69,318
SAMSUNG,8,128,6.4,5000,13,59,318
Redmi,6,128,6.39,4000,20,69,318
